id,from_station_id,from_station_name,to_station_id,to_station_name,fare,travel_time_min,stations_count,intermediate_stations
829,19,APMC,50,Sector-16,35.0,0,33,"Jivraj Park, Rajivnagar, Shreyas, Paldi, Gandhigram, Old High Court, Usmanpura, Vijaynagar, Vadaj, Ranip, Sabarmati Railway Station, AEC, Sabarmati, Motera Stadium, Koteshwar Road, Vishwakarma College, Tapovan Circle, Narmada Canal, Koba Circle, Juna Koba, Koba Gam, GNLU, Raysan, Randesan, Dholakuva Circle, Infocity, Sector-1, Sector 10A, Sachivalaya, Akshardham, Juna Sachivalaya"
1149,30,AEC,52,Mahatama Mandir,30.0,0,23,
1246,35,Tapovan Circle,44,Infocity,15.0,17,10,"Narmada Canal, Koba Circle, Juna Koba, Koba Gam, GNLU, Raysan, Randesan, Dholakuva Circle"
1247,35,Tapovan Circle,45,Sector-1,15.0,22,11,
1563,3,Vastral,30,AEC,25.0,46,15,"Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station, Gheekanta, Shahpur, Old High Court, Usmanpura, Vijaynagar, Vadaj, Ranip, Sabarmati Railway Station, AEC"
2261,1,Vastral Gam,2,Nirant Cross Road,5.0,2,2,"Vastral Gam, Nirant Cross Road"
2262,1,Vastral Gam,3,Vastral,5.0,4,3,"Vastral Gam, Nirant Cross Road, Vastral"
2263,1,Vastral Gam,4,Rabari Colony,10.0,7,4,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony"
2264,1,Vastral Gam,5,Amraivadi,10.0,8,5,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi"
2265,1,Vastral Gam,6,Apparel Park,10.0,11,6,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park"
2266,1,Vastral Gam,7,Kankaria East,10.0,14,7,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East"
2267,1,Vastral Gam,8,Kalupur Metro Station,15.0,16,8,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station"
2268,1,Vastral Gam,9,Gheekanta,15.0,20,9,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station, Gheekanta"
2269,1,Vastral Gam,10,Shahpur,15.0,23,10,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station, Gheekanta, Shahpur"
2270,1,Vastral Gam,11,Old High Court,20.0,26,11,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station, Gheekanta, Shahpur, Old High Court"
2271,1,Vastral Gam,12,SP Stadium,20.0,29,12,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station, Gheekanta, Shahpur, Old High Court, SP Stadium"
2272,1,Vastral Gam,13,Commerce Six Road,20.0,31,13,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station, Gheekanta, Shahpur, Old High Court, SP Stadium, Commerce Six Road"
2273,1,Vastral Gam,14,Gujarat University,20.0,33,14,"Vastral Gam, Nirant Cross Road, Vastral, Rabari Colony, Amraivadi, Apparel Park, Kankaria East, Kalupur Metro Station, Gheekanta, Shahpur, Old High Court, SP Stadium, Commerce Six Road, Gujarat University"
